2026-03-21 22:21:46,697 | WARNING  | discord.client | PyNaCl is not installed, voice will NOT be supported
2026-03-21 22:21:46,697 | WARNING  | discord.client | davey is not installed, voice will NOT be supported
2026-03-21 22:21:46,847 | INFO     | discord.client | logging in using static token
2026-03-21 22:21:47,837 | INFO     | discord.gateway | Shard ID None has connected to Gateway (Session ID: 329f5aeae1d3a27a8f94144660e76c3f).
2026-03-21 22:22:43,898 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1479563322847395964 responded with 429. Retrying in 0.30 seconds.
2026-03-21 22:22:44,517 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1479563321559482388 responded with 429. Retrying in 0.47 seconds.
2026-03-21 22:22:45,408 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1479563320481546320 responded with 429. Retrying in 0.56 seconds.
2026-03-21 22:22:46,301 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305681131765825 responded with 429. Retrying in 0.69 seconds.
2026-03-21 22:22:47,256 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305678157742234 responded with 429. Retrying in 0.72 seconds.
2026-03-21 22:22:48,241 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305675880366171 responded with 429. Retrying in 0.73 seconds.
2026-03-21 22:22:49,425 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305673615446077 responded with 429. Retrying in 0.55 seconds.
2026-03-21 22:22:50,276 | WARNING  | discord.http | We are being rate limited. DELETE https://discord.com/api/v10/channels/1384771471448215644/messages/1388305671308447980 responded with 429. Retrying in 0.70 seconds.
